,rice_type,path,r_mean,g_mean,b_mean,r_variance,g_variance,b_variance,r_skewness,g_skewness,b_skewness,r_kurtosis,g_kurtosis,b_kurtosis,r_entropy,g_entropy,b_entropy,major_axis_length (px),minor_axis_lenth (px),contour_area (px),contour_perimeter (px),roundness,aspect_ratio
0,arborio,../data/Arborio\Arborio (3111).jpg,212.87941445562672,212.18975297346753,218.41500457456542,13.612483062185078,13.757895551325872,13.777838646866156,-0.9602529598858499,-0.9502527594565168,-1.0102667896811701,4.633607937305051,4.4019632247431,4.582907714310119,8.604021072784473,8.603961915057086,8.604076213488762,123.718017578125,56.24058532714844,5328.5,316.97770273685455,0.6664344009170746,2.199799608387146
1,arborio,../data/Arborio\Arborio (1166).jpg,208.50976589555341,208.97257237844576,215.43607147804406,20.27435835600293,20.69199962833124,19.822414853993532,-0.8475339075520953,-0.8262978771441103,-0.9521004049735784,0.32653924274341417,0.2554330063183996,0.6650953047540944,8.879586221338839,8.879405884922882,8.880090041513418,126.7657699584961,72.0951919555664,7072.5,341.11983811855316,0.7637810277326627,1.7583110124267949
2,arborio,../data/Arborio\Arborio (7671).jpg,231.94068692206076,232.07437252311757,230.97529722589167,22.515614195570578,22.83755939687741,20.945633532741144,-1.6258970378050928,-1.5994531478166547,-1.7446704298136257,2.9491509098201463,2.82823095317644,3.5818821150513496,8.926934061160363,8.926795865396368,8.927573931298815,142.57232666015625,67.48216247558594,7406.0,374.04877042770386,0.665176823408367,2.1127409293046417
3,arborio,../data/Arborio\Arborio (5259).jpg,212.5246125232486,218.51208927464353,230.0887786732796,17.10503617219647,17.969078486630742,17.31287581417613,-1.332737554910914,-1.3288631238268744,-1.6512109955710814,3.0547284118919342,2.9846024293468774,4.395532790808982,8.99190895379213,8.99175727454206,8.992317155873799,135.1604461669922,76.26258850097656,7904.0,364.73506212234497,0.746623692424504,1.7723034167042655
4,arborio,../data/Arborio\Arborio (2226).jpg,206.83236561153774,206.78722607229818,216.0241618280577,15.813775333555665,16.037565310543425,15.65072764983503,-1.4223353775171892,-1.3864853085924427,-1.6444108748267807,3.6270878075854327,3.4410239242763456,4.681437184513272,8.579742718018815,8.579655586312214,8.580044280739285,115.85855102539062,58.480464935302734,5205.5,307.66399443149567,0.6910651087283789,1.9811496224177696
5,arborio,../data/Arborio\Arborio (723).jpg,217.60686238975475,218.31388184124683,221.35870484475052,20.15780161504967,20.412441757745317,20.01135493672452,-1.2054579576719875,-1.2058375835788508,-1.2150200957301416,1.9784721260573095,1.9581569618897996,1.9503651676599514,9.016748840733756,9.016662341779632,9.016966949240711,143.30545043945312,73.24561309814453,8115.0,378.3330411911011,0.7124425432012994,1.9565055759371255
6,arborio,../data/Arborio\Arborio (9274).jpg,209.0209324452902,209.22114992524126,216.79978252004892,17.41561171253643,17.779490314376087,17.3073096972808,-1.0662781691027914,-1.056017743933791,-1.1803675821793975,1.9068759771536734,1.8086567851308382,2.332862045559309,8.899810798521731,8.899664502298611,8.900100009906737,138.8866729736328,67.03821563720703,7205.5,358.57568180561066,0.7042264307346254,2.071753725147616
7,arborio,../data/Arborio\Arborio (8719).jpg,211.42509441879983,210.0569310393062,217.7480766540775,19.650881053981145,19.770995261917257,19.602789243328456,-0.6242159519607282,-0.6102310176418027,-0.7198471916818012,0.05709193344215535,0.00749391852431236,0.28495787361112024,8.870303875427268,8.870191783099548,8.870568014938785,133.21495056152344,67.84249877929688,6998.5,349.9482651948929,0.7181367321405807,1.9635914501748264
8,arborio,../data/Arborio\Arborio (3523).jpg,219.43826824757969,219.68628304144457,227.075165887088,17.46120035895207,17.925715953900244,16.76109150578176,-1.357269893809826,-1.3138160434578268,-1.6057501173252164,2.866978827117131,2.630728582825636,4.093458711378112,9.12289428840359,9.122724699188783,9.123344708288718,152.99180603027344,76.384765625,9022.5,398.2325359582901,0.7149295960081083,2.002909936012171
9,arborio,../data/Arborio\Arborio (1376).jpg,211.3363132712163,211.25371442961472,220.12994208008058,18.024409100349764,18.225738118427657,18.626661328577107,-0.8177207390993981,-0.8061222262527994,-0.8994738391842345,1.0019900958597545,0.9627612828103387,1.1934854996625321,8.976178624191755,8.976091527052805,8.976229000806727,135.5861358642578,73.85431671142578,7789.0,360.3330411911011,0.7538473172153884,1.8358593228076225
10,arborio,../data/Arborio\Arborio (5033).jpg,212.3842266102492,212.77433004231312,217.0719322990127,17.611392820329456,17.895503774096408,17.51397694519822,-0.8910896206410069,-0.8771143106886611,-0.9161571083702268,1.427640375122908,1.3777467456478547,1.5359186488796475,9.045219276493892,9.045117217480348,9.045408671977281,145.40945434570312,74.45425415039062,8337.0,383.0782079696655,0.7139121467371734,1.9530039754610884
11,arborio,../data/Arborio\Arborio (4487).jpg,228.86467712889117,228.27090301003344,233.4720864419861,23.063060343145263,23.194925399631362,22.268225139489132,-1.308857261448239,-1.3015040241748654,-1.4268479640695801,1.9036044529772762,1.8857552978206482,2.290927944985216,8.953187476797792,8.95309649782691,8.95374050972747,133.0858917236328,74.8103256225586,7617.0,365.0193328857422,0.7183929894244448,1.7789775758374935
12,arborio,../data/Arborio\Arborio (13633).jpg,218.69601020644862,217.81094873579215,222.94444444444446,19.07917387162257,19.220688086859543,18.458392656723124,-1.190238222031152,-1.1684307780631373,-1.293113668576348,1.6036945267624962,1.497237828646639,2.1708922513579734,9.058109002932339,9.05801821283242,9.058498680778293,146.66775512695312,74.52562713623047,8461.5,380.71781718730927,0.7335856362715669,1.9680177244110828
13,arborio,../data/Arborio\Arborio (3399).jpg,232.3141250878426,232.94082923401265,237.53970484891076,20.647478695983157,20.985831629864197,19.49644955668348,-1.7905398181360719,-1.7686151906450622,-2.0176451382982874,3.653308005874722,3.53577486435473,4.828405909390783,8.865758658689938,8.865642411982744,8.866369779344332,135.4226837158203,66.47926330566406,6964.5,349.11983811855316,0.7180434942467327,2.0370665525152147
14,arborio,../data/Arborio\Arborio (3374).jpg,226.9798598949212,227.1868901676257,231.60745559169376,20.517847815974996,20.88114263190854,20.357219574294483,-1.689641483228802,-1.645373671277424,-1.7210157340537207,4.025979737980949,3.807514380879024,4.079485944968527,8.982104159583441,8.981959208222701,8.98234535503239,147.5327606201172,68.63976287841797,7826.5,378.97770273685455,0.6847785307652517,2.149377480826134
